id,question,answer,image_path
144,冬のスポーツが盛んなのは？,北海道,images/image_hok.jpg
145,豊かな自然が広がるのは？,北海道,images/image_hok.jpg
146,カニ料理が美味しいのは？,北海道,images/image_hok.jpg
147,日本最北端の宗谷岬があるのは？,北海道,images/image_hok.jpg
148,開拓使の歴史があるのは？,北海道,images/image_hok.jpg
149,ジャガイモの産地といえば？,北海道,images/image_hok.jpg
150,小樽運河があるのは？,北海道,images/image_hok.jpg
151,日本で一番小さな都道府県は？,沖縄,images/image_oki.jpg
152,常夏の島といえば？,沖縄,images/image_oki.jpg
153,サンゴ礁が美しいのは？,沖縄,images/image_oki.jpg
154,マリンスポーツが盛んなのは？,沖縄,images/image_oki.jpg
155,透き通る海が広がるのは？,沖縄,images/image_oki.jpg
156,泡盛が有名なのは？,沖縄,images/image_oki.jpg
157,日本最西端の与那国島があるのは？,沖縄,images/image_oki.jpg
158,琉球王国の歴史があるのは？,沖縄,images/image_oki.jpg
159,マンゴーの産地といえば？,沖縄,images/image_oki.jpg
160,国際通りがあるのは？,沖縄,images/image_oki.jpg
161,日本で一番北にある県は？,北海道,images/image_hok.jpg
162,冬の平均気温が低いのは？,北海道,images/image_hok.jpg
163,雪がたくさん降る地域は？,北海道,images/image_hok.jpg
164,オホーツク海に面しているのは？,北海道,images/image_hok.jpg
165,冷涼な気候の場所は？,北海道,images/image_hok.jpg
166,冬のレジャーが盛んなのは？,北海道,images/image_hok.jpg
167,鮭の遡上場所として有名？,北海道,images/image_hok.jpg
168,ヒグマが生息している都道府県は？,北海道,images/image_hok.jpg
169,広大な牧場が広がるのは？,北海道,images/image_hok.jpg
170,スキーやスノーボードが楽しめるのは？,北海道,images/image_hok.jpg
171,日本で一番南にある県は？,沖縄,images/image_oki.jpg
172,夏の平均気温が高いのは？,沖縄,images/image_oki.jpg
173,台風が上陸しやすい地域は？,沖縄,images/image_oki.jpg
174,東シナ海に面しているのは？,沖縄,images/image_oki.jpg
175,温暖な気候の場所は？,沖縄,images/image_oki.jpg
176,夏のレジャーが盛んなのは？,沖縄,images/image_oki.jpg
177,ウミガメの産卵地として有名？,沖縄,images/image_oki.jpg
178,ハブが生息している都道府県は？,沖縄,images/image_oki.jpg
179,透き通った海が広がるのは？,沖縄,images/image_oki.jpg
180,シュノーケリングやダイビングが楽しめるのは？,沖縄,images/image_oki.jpg
181,寒いところは？,北海道,images/image_hok.jpg
182,雪が多いのは？,北海道,images/image_hok.jpg
183,冬景色が美しいのは？,北海道,images/image_hok.jpg
184,氷の世界が広がるのは？,北海道,images/image_hok.jpg
185,極寒の地は？,北海道,images/image_hok.jpg
186,温泉で温まるならどこ？,北海道,images/image_hok.jpg
187,厚い上着が必要なのは？,北海道,images/image_hok.jpg
188,暖房が必須なのは？,北海道,images/image_hok.jpg
189,雪遊びが楽しいのは？,北海道,images/image_hok.jpg
190,ストーブ列車が走るのは？,北海道,images/image_hok.jpg
191,暖かいところは？,沖縄,images/image_oki.jpg
192,ビーチリゾートが有名？,沖縄,images/image_oki.jpg
193,夏の景色が美しいのは？,沖縄,images/image_oki.jpg
194,サンゴ礁が広がるのは？,沖縄,images/image_oki.jpg
195,常夏の楽園は？,沖縄,images/image_oki.jpg
196,海水浴を楽しむならどこ？,沖縄,images/image_oki.jpg
197,薄着で過ごせるのは？,沖縄,images/image_oki.jpg
198,冷房が必須なのは？,沖縄,images/image_oki.jpg
199,マリンスポーツが楽しいのは？,沖縄,images/image_oki.jpg
200,グラスボートに乗るなら？,沖縄,images/image_oki.jpg
